ID2,Elevation,TopographicWetnessIndex,RelativeSlopePosition,AnnualGlobalSolarRadiation,DepthFewRoots,DepthNoRoots,RelativeYieldCV,RelativeYieldMean,HasSoilDescription,Latitude,Longitude
3,784.93625,5.602043,0.13988599999999998,1871.270264,98.0,153.0,0.17213320724440678,0.9261749100913844,1,46.77879100102537,-117.08667800000023
21,783.79064,5.103765,0.143377,1851.171631,114.0,153.0,0.2092477411489086,1.0312898847793357,1,46.77884200102199,-117.08764599999786
27,793.0763,4.895763,0.36649699999999996,1826.739502,96.0,153.0,0.1960569905494464,1.0722515703758486,1,46.77906282015732,-117.08511703761309
31,795.9365,4.921764,0.45314399999999994,1828.2016600000002,88.0,153.0,0.18975935174171146,0.9729303247726491,1,46.77902300102438,-117.08346599999722
33,796.61409,4.368066000000001,0.47850200000000004,1877.192139,59.0,59.0,0.17277150008454253,0.5868606014933659,1,46.77901300102675,-117.08263000000113
51,794.08642,4.8810910000000005,0.394759,1706.1186519999999,93.0,131.0,0.2270668026769565,1.0158866584549522,1,46.77919681234803,-117.08496351312841
83,795.4189299999999,5.286548000000001,0.445111,1792.4114989999998,116.0,153.0,0.2232262365615782,0.928236834273128,1,46.77942400102188,-117.08196100000332
139,799.7814599999999,5.375471,0.587458,1868.2392579999998,75.0,125.0,0.19921545827039186,0.7468915205559179,1,46.77999300102029,-117.08059299999752
141,805.8886,5.424448,0.778404,1862.032227,54.0,100.0,0.17575104934742736,0.7661936005641612,1,46.78022700102292,-117.07975700000506
143,806.5341,5.664093,0.793089,1865.304443,42.0,101.0,0.16475215354313608,0.8700925993186169,1,46.78010382020986,-117.0789030981318
159,789.30084,4.005351999999999,0.24710100000000002,1709.6311039999998,57.0,127.0,0.17564089195873436,0.839609905667014,1,46.78044300102235,-117.08292299999815
167,810.27998,4.625368,0.914475,1840.411255,81.0,153.0,0.17293008348337685,0.8023623644286867,1,46.78047700101982,-117.07957899999901
199,801.72212,5.351138,0.642073,1698.87854,85.0,85.0,0.19276755778243465,1.161479946146292,1,46.78057600102436,-117.07684700000179
203,782.08984,5.112013,0.036487,1849.76477,17.0,153.0,0.19444747483801614,0.8219801617872857,1,46.7810720010237,-117.08540600000046
223,804.7871700000001,4.078937000000001,0.734974,1698.022949,17.0,91.0,0.16127701102476769,0.9154946365146382,1,46.780862001026094,-117.07704600000518
227,784.9042900000001,4.358179,0.133473,1859.050537,21.0,121.0,0.20044664944452825,0.8080935491965591,1,46.781222029446795,-117.0854327816843
231,788.1817,5.1097339999999996,0.21621300000000002,1852.458252,107.0,153.0,0.19124952277813512,0.8079225563570929,1,46.78124800102513,-117.08378699999595
233,790.82853,4.75812,0.30282800000000004,1822.144287,100.0,100.0,0.19339788240579872,1.0133444449329223,1,46.78123200102087,-117.08295099999987
257,795.5946299999999,5.470675,0.45376000000000005,1818.830811,60.0,95.0,0.1998913497410561,0.965818268492414,1,46.781624001021655,-117.08252000000222
263,803.4617900000001,5.302449,0.6970029999999999,1721.3969730000001,18.0,125.0,0.18252801821623985,0.9487271780923094,1,46.78165700102323,-117.080012000003
281,797.10636,5.43569,0.5012800000000001,1856.890137,55.0,127.0,0.17681363219966198,0.9622630320489232,1,46.78170481581104,-117.08181227504305
283,800.41248,5.187931,0.603338,1846.070435,105.0,105.0,0.2134203779106156,1.0095022261154278,1,46.781853001019584,-117.08099199999558
306,799.96649,5.493647,0.5889300000000001,1757.7794190000002,,,0.2338678638711715,1.0977985080545516,1,46.78199800102457,-117.0817740000042
308,801.99083,5.126271,0.651381,1705.9431149999998,,,0.21308361560194786,1.0400273241049474,1,46.78213900102032,-117.08093800000442
