ID2,Elevation,Slope,Aspect,TopographicWetnessIndex,RelativeSlopePosition,AnnualGlobalSolarRadiation,DepthFewRoots,DepthNoRoots,RelativeYieldCV,RelativeYieldMean,HasSoilDescription,Latitude,Longitude
27,793.0763,5.493395,200.894928,4.895763,0.36649699999999996,1826.739502,96.0,153.0,0.1960569905494464,1.0722515703758486,1,46.77906282015732,-117.08511703761309
31,795.9365,5.259379,190.861877,4.921764,0.45314399999999994,1828.2016600000002,88.0,153.0,0.18975935174171146,0.9729303247726491,1,46.77902300102438,-117.08346599999722
51,794.08642,2.0851669999999998,316.11560099999997,4.8810910000000005,0.394759,1706.1186519999999,93.0,131.0,0.2270668026769565,1.0158866584549522,1,46.77919681234803,-117.08496351312841
53,795.17926,3.703589,337.53649900000005,4.919003,0.425303,1667.2182619999999,84.0,122.0,0.23995310260875335,1.1028370581450115,1,46.779246001024674,-117.08413800000488
83,795.4189299999999,5.018587999999999,130.582291,5.286548000000001,0.445111,1792.4114989999998,116.0,153.0,0.2232262365615782,0.928236834273128,1,46.77942400102188,-117.08196100000332
99,790.2424,5.3631400000000005,314.761566,4.909111,0.30090300000000003,1656.609985,106.0,153.0,0.16324761264619733,1.0539056048610316,1,46.779935001021464,-117.08640899999494
153,787.16615,4.608702,33.923668,4.867376,0.178845,1657.241455,120.0,153.0,0.21323258104859194,1.0606465945464016,1,46.78050000101819,-117.08543099999456
159,789.30084,5.896276,279.038116,4.005351999999999,0.24710100000000002,1709.6311039999998,57.0,127.0,0.17564089195873436,0.839609905667014,1,46.78044300102235,-117.08292299999815
195,812.92161,5.181764,359.447174,4.2554989999999995,0.9835649999999999,1631.533691,92.0,114.0,0.17376351846952462,0.9631639796796628,1,46.78069600102212,-117.0785189999963
233,790.82853,5.830966,211.90635699999999,4.75812,0.30282800000000004,1822.144287,100.0,100.0,0.19339788240579872,1.0133444449329223,1,46.78123200102087,-117.08295099999987
257,795.5946299999999,5.034527,202.604324,5.470675,0.45376000000000005,1818.830811,60.0,95.0,0.1998913497410561,0.965818268492414,1,46.781624001021655,-117.08252000000222
263,803.4617900000001,2.467121,286.876099,5.302449,0.6970029999999999,1721.3969730000001,18.0,125.0,0.18252801821623985,0.9487271780923094,1,46.78165700102323,-117.080012000003
293,793.7133299999999,5.352469999999999,358.245209,4.920618,0.401065,1626.705078,79.0,117.0,0.16609977998681472,0.9397789586509152,1,46.7817200010211,-117.07681200000229
298,782.88052,5.445787,318.016998,5.714722,0.071217,1650.737549,,,0.21613901251394985,1.0720931415988133,1,46.78221600101887,-117.08511799999836
306,799.96649,2.90158,245.02507000000003,5.493647,0.5889300000000001,1757.7794190000002,,,0.2338678638711715,1.0977985080545516,1,46.78199800102457,-117.0817740000042
308,801.99083,1.571261,353.974335,5.126271,0.651381,1705.9431149999998,,,0.21308361560194786,1.0400273241049474,1,46.78213900102032,-117.08093800000442
